text,label
في مقابلة عام الفين و واحد وعشرين انه foodics انطلقت من الخبر الى واحد وعشرين دولة حول العالم صحيح اليوم كم,0
انت اثبت وجود mvb الفكرة,0
they couldn’t comprehend what i was talking about ما كانوا مستوعبين اطلاقا ما هم مستوعبين,1
فبالتاكيد الترفيه يعني هذا من,0
خليك واثق والحمد لله الحمد لله جانا feedback جدا جدا جدا قوي و positive يعني حتى لدرجة ناس صارت تقول هذا نوزومي plus,1
ارسل قلنا له احنا عازمينك روح نقطع لك تذكرة نحطك اقامة,1
كيف تقدر توصل لاعلى عوائد باقل مخاطر,1
ولا اي مطعم ثاني وصل للرقم هذا اليوم افتح الباب وادخل الاقيه نصه فاضي,1
واذا تشوف معظم ال,0
فيه عندنا,0
يعني من ذا ال one shield من قدام ومن وراء والسقف,1
شافها فهد قالي معقول هذي واضحة وضوح الشمس شلون يع شلون يخل بالعقد,1
ما خسرنا احد طال عمرك هي كانت عرف وهي قناعة بس مجرد انه يجرب انه انا لو رحت للمكان هذا وما فيه شيء عيب,1
فالتدفق النقدي negative ok لمن يكون التدفق النقدي انت خسايرك مستمرة,1
هذا واحد ثاني شيء ترا هبة المطاعم خلينا نقول كذا بصراحة,1
ولدي فيصل,0
المفروض حتى شكل رجل الامن يكون مختلف,1
اء ربحه مضمون احنا شاركنا ربحه مضمون,0
تابع للهيئة الهيئة السعودية للمحاسبين القانونيين,1
كان لمدة يومين متواصلة,0
كيف دخلنا فا softbank,1
very experienced people وعدد كبير احنا نجيب,1
بين ال sector development وبين على حسب,0
معناته التركيب عندك فيها خلل ايه هذا واحد فانت كيف تنزل الى الطبيعي بحيث انه تكون جدواك,1
فالخمس سنين الاولى تقريبا فوق الاربع مئة الف وظيفة,1
احنا ندخل في منافسة غير عادلة مع منتجات برا السعودية فانا قاعد انافس مصانع فالصين صحيح ماعندهم,0
وفعلا شيء سريع جدا بنفس اليوم جت الموافقة,1
اء كانوا,0
اذا ابغى اطلع انا كيف ما,0
يعني كان يشمله هذا هذا النظام وش يعني انا صاحب محل ايه وش يخدمني هالنظام فيه,1
فيه بيكون نوع من الاقفالات,1
اء رئيس للصندوق او رئيس تنفيذي للصندوق,1
مشبع صراحة بين كم رجل اعمال وكم شركة فا اكلت السوق بس بعد ما,1
ماراح اشغل سيارتي فالشمس واطلع واوقفها تحت,0
بعدها تجي لشيء اسمه,0
فا and طبعا قبل لاتجيني,0
وقت طويل فال planning خاصة,0
وقتها سويتوا ال round الثاني ايوه هي وقتها ال round الثاني هذا له اس قصة يعني صراحة,0
انتم لسى ما فتحنا لان logistically ما شاء,0
رسوم حكومية ولا وفرة خدمات ال process يطول شوي فبالتالي انت كل يوم تطول فيه ترا,0
قلت لهم سووا,0
كان يكلفنا ثلاث مية وخمسين الف فالشهر فالشهر وخمسين الف ايه,1
بشكل كبير نبغى نوصل يعني زي,0
وفي العائد وش اللي تحقق حجم الاصول كان مية وخمسين مليار دولار دولار,1
فيه ال risk اذا ما معاك,0
ذات جدوى استثمارية,0
نروح فالليل الناس تعزم احد تروح تغير جو ولا كان الفكر,1
فا طلبت من المحامي بس,0
سلم رواتبي وياخذ,0
تطبيق الايفون للبيع والا لا كم سعره اللي فالصورة حقت الاعلان فالصورة حقت الاعلان,1
انا ما ابدا,0
وعشان نح يعني نبدلهم يبيلنا,1
بداية التحلية قريب من الضباب اء كا كا اول urth cafe هذا الكلام,0
خلاص بدينا نشتغل,0
احنا عندنا ترتفع الى اربعين فالمية,1
اضافة لذلك our direct investment اليوم,0
نبغى على الاقل واحد يكون موجود فالاشياء المالية على الاقل واحد يعني مح,1
وبعدها جانا الاربعة بالمية,1
انت بعدين فيه نقطة مهمة لمن جاء,1
اء aloha ncr,1
لما تجي تقارنها هذولي كلهم في الخطوط السعودية مثلا,1
احنا ال staff cost عندنا عالميا فال fine dinning تتراوح من ستة وعشرين الى ثمانية وعشرين بالمية staff cost من اجمالي ال cost ال operation cost,1
وفالرؤية تك تكلمت الرؤية با يعني,0
اللي هي ال soft pos فيصير نفس ال tablet,1
اعلى شيء اكبر شيء,0
and then شلنا المجلس التاسيسي وسويناه تحت الصندوق يعني الادارة فالصندوق هي اللي تمشي فالفكرة الاساسية,1
بعدين طب نسكر الباب طبعا ما نستقبل احد وقت الصلاة بعدين جلسنا نفكر قلنا هل من المنطق,1
تلاقي المخاطر عندهم,0
من المعروض وفيه غير المطاعم,0
ثاني شيء نملك السعودية وانت رحت تحاول تبيع جدة ومثبتة وتبيع,0
اء يعني اعادوا الحوي الحيوية فيه من من synergies مختلفة ابو فيصل كنت بسالك على قطاع,1
كمطعم ايطالي كان نجاح ممتاز,1
point of sale,0
سنوية هذي ما فيه ما كان فيه ولا شيء من الاشياء,0
كيلو متر,0
هنا اللي انا تعرفت تعرفت عليه وقلت له انا عندي application loyalty و points وتطلب لكل فروع,0
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش الى اليوم,1
والله كنت اخذ اء اء تذاكر فقط اروح جدة اجلس انتظر فارس,1
والله فيه يعني فيه وصلتوا المليون,0
انه to control ال experience من,0
ما تبقى من رحلة foodics اللي توها توها تنطلق توها تنطلق الله يعطيك العافية تسلم,0
كانوا يتوقعوا اننا بناخذ الشغل من عندهم no we did not,1
ok ونسحب عالمكان القديم سواء اللي بليونير تسحب عالمكان ماتغير شيء في بليونير,1
ولا سنيور ساسي ولا شيكتي,1
يعني ما ما اتخيل ان هذي ارباحكم ماهو ارباحنا كلها من وين بتجيبون ميتين مليار سنويا فيه برنامج كامل كيف يتم الوصول,0
قلت لك deep deep knowledge,1
لل catering اء,0
ابدا ما ما تغطي مصاريف ما نغطي مصاريف,1
وكان فيه مطعم اسمه شوبك كمان في جدة,1
و وماهم مقتنعين شلون صندوقنا يدخل في هذا القطاع اللي هو الترفيه والرياضة نتكلم على شركة سافي,1
ترا انت ماشربت قهوتك هاه ايه بعد بتصير اي بتصير ice coffee لالا بشربها الان بالعافية,1
طبعا دعايات,1
مصعب هو مصعب,0
طيب خليني اتخيل انا رئيس صندوق التنمية السياحي ايه نعم هذا القطاع فاعد يقول انا عندي رمضان وعندي صيف وحر,1
هذا عائد كل الصندوق والا الاستثمارات الجديدة لا لا لا كل كل الصندوق ايه كل الصندوق بمعنى اصول ست مية مليار,0
اء انت ذكرت قبل شوي ابو,0
فال كانك تحرق ستة وستين,0
كان مجلس اء صندوق الاستثمارات مجلس ادارة صندوق الاستثمارات العامة يجتمع بشكل اسبوعي اسبوعي,0
الحساء كبير السوق هممم وانا متعود على الشرقية ليش رحت,0
اليوم فيه الظاهر اكثر من ستة شركات فالسينما وبعضها اكبر,0
فكانت رؤية سمو الامير بالنسبة,0
يستاجر وا الى اخره يعني كان وارد انك تاخذ جوا مول كان وارد ايه كان وارد اني اخذ جوا المول ما زي,1
اء دولار اربعة مليون دولار yes طلب زايد من من المستثمرين اللي موجودين بقيادة بقيادة رائد و rtf,1
شخص طماع,1
و خطتنا خلال الثلاث سنوات الجاية قاعدين ندرس الفرص يعني السوق السعودي او السوق,0
وفعلا قال يلا,0
لهذا الحجم من الاصول ايه على شان نوصل لهذا الحجم من الاصول طبعا again فيه ال اء ال injections اللي تجينا من من الحكومة,1
فاما انها تشتغل تجاريا او ينباع جزء منها ينباع جزء منها وقتها حتحسب يبتدي يصير يصير التقييم فا هذي لها ال impact يعني لسا بيصير عندك هذا مؤشر على التحفظ في عمليات التقييمات,1
فيه فيه كلام,0
تطوير الادوات,0
كنا في زيارة مع سمو,0
والدعم is it مثلا دعم نقدي,1
كنت تقول انك rubenstein ايه كنت تقول انك مبسوط لانه حققوا لك,0
so in my capacity as chairman of ارامكو تكلمت معاهم,0
اء لانه عندي نفس التوقع انه المستثمر ياخذ ثمانين بالمية,1
بعيد قريب عزيز غير ذلك i have to listen للشخص اللي قدامي,1
طيب المبنى اللي حنا مستاجرين فيه احنا مستاجرين وما نملك,1
فال فالبدايات كان واسطات عشان تقدر تدخل بليونير يا طويل العمر انا بفاجئك برقم انت لن,0
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت,1
رصيدك اللي فالبنك,0
يعني تساعدنا بانه يعني هذي هذي هذي,1
وندخل في تفاصيل شركاتها عشان هم فقط اثنين,0
اء موضوع ال ال عدد الطلبات اللي صارت تجيكم من المطاعم,1
نقدم خدمة ال suppliers,0
تونا ما اقولك نزلت ايجارات تونا خلصنا اول العقد كان خمس سنوات فما كنت مخنوق ماني قادر انزل فلما جا,0
اعتقد الكثيرين ايه يعني,0
اء ولادة foodics كا,0
وش اهم الدروس اللي تعطيهم اياها هل روح,0
تتكلم ترا خمسة واربعين بالمية وخمسة وخمسين بالمية,0
مو rommate يعني هو ال rommate مصعب يعني محمد ابو عبيدة بس باقي ما وصلنا له اه بس انكم في نفس الدفعة,0
ما مايجيب لك اقل من مئة فالاختيار استثماري بحت استثماري بحت so thats why,0
نتكلم عن ال aspirations اللي موجودة وش نبغى نسوي,0
وما كان عندنا ال التاهيل فالمطعم انه يكون عندنا team متخصص فال catering,1
لمن جات كورونا من بعد مابعد كورونا والمعروض,0
i see it,0
فا فهذي دخلت ال ضمن ال foodics نعم اللي هي foodics pay نسميها الان,1
بعدين يجي مطعم مؤقت فال فالموسم,1
ايرث كافيه في ابحر الجنوبية اقصد يعني,0
و رياضة ممتعة جدا يعني من,0
وان شاء الله,0
طبعا فص ملح وذاب اختفى الرجال ماعاد,0
وش التجربة اللي تقول انا كمنافس احترم هذا الشخص ومرة مبسوط باللي قاعد يسويه واقول الله يستر لاياكل علينا الجو,1
وكبر الشركة قلت له لحظة yeah this,0
ال pool الثالث اللي هو الطابع,0
تعالوا ندرب الافراد اللي عندكم فالمعهد حقنا مجانا,1
انت روح دبر عمرك,1
softbank يمكن هو من اكثر الاستثمارات المثيرة,1
احنا مالنا علاقة فيها هي مواقف,0
والناس كلهم فال فالرياض يقولون يرجعون اهلي يقولون ارجع ترا بيقف الموضوع serious اقول ايش سي ماهو موضوع وفعلا,0
و اقتربت,0
انا توقع عشان القطاع هذا يقدر يكمل بشكل عام,0
الشركات كاملة وزي,0
with a certain,0
اء و الحمدلله توفقنا وقت,1
ااء مستقلة,0
والعوائد عندهم منخفضة,1
وقتها سويتوا ال round الثاني ايوه هي وقتها ال round الثاني هذا له اس قصة يعني صراحة ليش يعني انا ما كن انا اثق في عمر,1
فهو صمم هذا richard اللي صمم لنا صمم فنادق في venice,1
مربع ترا عندنا قسم singles وقسم family,1
خل يكون عنده عشرة مليون استثمر في عشر فرص مثلا,1
اء كانت متخصصة فال fashion branding بالتحديد,0
و وتكون برامج واجهزة ذكية,1
فا فبديت اشتغل وقلت لك انا اء بديت اشتغل,0
ويصير لكن وكانت تجينا مخالفات,0
طبعا بداية الفكرة كانت من ال البوست,0
ااء so هنا ال وعلى مستوى العوائد وين يمكن انتوا صندوق استثمارات فاهم يعني مؤشر عندكم هو العوائد,1
امارات ومصر امارات ومصر اء طبعا بعد موضوع ال ال ال ال fintech,1
كيف الواحد يكون rational اكثر,1
طيب ومافيه اي zero support ولا فيه system,0
my potential now,1
تعطيك فرص اكثر فالبيع برضو نساعدهم في عمليات,0
محور ثاني,0
فا و newcastle,1
يعني بعد كذا اجل ماحنا باستثمار,1
جلست معاهم,1
وكان اذا بيغيرون الاسعار يحطون,0
يعني ك كل قرارات حقتهم اشوفها بعد ما يقررونها ما هو قبل,1
او لما يصير بيع لبعض الاراضي يصير فيه تقييم,1
قدمنا عادي جت الرخصة ماحد تفلسف,1
يشوف the macro كيف يقدر ينزل لتحت,1
فيها يعني اخذ وعطى وفيها انك تغمض عينك وتستسمح وتكمل,1
في دبي هي لاتزال اليوم اك اكبر من من اكثر خمس مطاعم ايرادات لاتزال الى اليوم ومن اشهر خمس مطاعم ليش,1
انه طيب لو ما جو singles,1
لا اللي قادوها كانوا process,1
ال oversubscription هو اللي,0
طيب احنا we want to create,0
كلها sold out يعني لما تنظر لها,0
روح لفيا رياض,1
توصلنا الى استديو قليت من خلال انترنت ال search وكذا اتصلنا بنوري اء السعودية ok طيب اهلا وسهلا,1
وشيء بالمية بركاتكم كلها شركاتكم وو,0
و و قنوعي يعني,0
او اعضاء المجلس يقولوا ايش رايكم فالفرصة هذي,1
وتم تطويرها,0
ما عاد فيه الرجال هذا وهذاك قفل اصلا المطعم الاساسي اللي,0
تلاقيها اقل من خمسين بالمية ال efficiency اللي هي,1
وليش كل مطاعمكم تدور في فلك ايطالي ياباني ايطالي ياباني ما رحتوا ايراني ما رحتوا هندي مارحتوا هذي وحدة,0
and to be,0
جلست في كذا اجتماع مع الاعضاء يعني مع القطاع الخاص,0
فا كان he was always referring ل,0
هواية بسيطة جدا,0
نصيحتي الوحيدة انه ابني,0
فيصل شاكر اسامة شاكر ومحم ومحمد جاوة محمد جاوة اسستوا الشركة وبديتوا كان كان معانا شريك,1
so were should we,0
قال ايوه قلت المفروض تثق فيني,0
و fraud بعد وين في ال back end فال infantry فالجرد اه فالمخزون,1
او non direct,0
اء انا عامل ال round وانا عندي,0
لا فيه partiton يمكن صار سوء فهم احيان ترا يصير سوء فهم يعني انا مو قصدي انه هذا يصير فيه سوء فهم من الاجنبي مو فاهم,1
طبعا فيه مترجم هو هو ما ما يتكلم,0
مع انه يوقع لنا انه يصمم لنا,0
اكثر من انه يعتبر fine dinning لكن ال quality اللي جالس اعطيك اياها,1
softbank vision fund let me just take maybe few steps back ياليت بس اعطيك some context,1
قلت لهم give me an,0
وقعنا معاه master agreement لكل urth cafe من ال kiosks,1
بس طلع بالقبعة القديمة اما,0
ما قام من الكرسي اللي هو جالس,0
ok بعد ما تخلص الصلاة نرجع نرفع الموسيقى الناس كانت تعجبهم موضوع الموسيقى انه فيه موسيقى لانه الموسيقى يا سيدي الفاضل قصتها كيف بدات فالمطاعم برا فالخارج,1
اء تقريبا,0
وفعلا شيء سريع جدا,0
i think twenty twenty four we will have first oh,1
الجهاز اللي يعتبر اليوم هو يعني,0
فيعني تيسرت من الناحية هذي وكيف اء وكيف صار النقاش بينك وبين ولي العهد على المهمة ال اء,1
لمن جات الكورونا ايه سكرناه,1
ولا كان عندي ثقافة اني ادخل فلوس عشان اكبر يعني خلاص انا ممكن ابيع بعدين بس مش الان,1
في المطعم يبقى عندنا واحد اثنين احتياطا لان شروط لو احد,0
طبعا فص ملح وذاب اختفى الرجال ماعاد له وجود,1
يعني يفرق معاك يعني سوا الصندوق السياحي دعم دعم الطلبة السعوديين اللي راحوا ودرسوا بالخارج ايه هو جالس يدعم هو اصلا جالس يدعم عندك,1
فقلت بديت اشوف و i need to target ال brands اللي فعلا,1
يعني الحمد لله ان النظام موجود بشكل جدا ممتاز بالنسبة للرقابة والافراد اللي موجودين برضو,1
فبنينا الارض على هذا الاساس سوينا لها parking تحت full basement مساحة الارض الفين وسبع مية متر,1
احسن من انه يقفل على نفسه بس هذا خياره رغبته الشخصية رغبته الشخصية على العين والراس,1
اربعة اللي هو التشغيل خمسة تخار تخارج how do you exit اي استثمار,1
اء وبديت ابيع,1
حنا اليوم هنا,0
في امريكا الجنوبية وامريكا وبدت تكبر,0
اذا كلامه صحيح يشكر ويقدر عليه,1
هذا اللي كلفكم اربعين مليون اربعين هذا هو ال record حقكم لانه هذي ارض,1
تبغى توصل لل للحفرة بخمسة ضربات,1
نبغى نكون فال life science,1
اء و الحمدلله,0
ماهو foodics,0
لكن هي عرف اصبحت بمثابة نظام على سبيل المثال,0
كبير وقوي وال add,0
في محل نوزومي حق ال catering,1
اء احد اعضاءها كان امريكي وتوه تم,0
ماهو بموضوع واحد تشتغل عليه,1
اء والسوق صغير,0
ومانزل ارتد فا فا جاء عائد سريع فا جاء عائد سريع ماقدرنا to deploy المبلغ كامل للاسف,1
تراها full وكل اللي فيها خسرانين,1
يسمونه mega,0
قالوا لي احمد احنا,0
الناس كلها,0
team من المطعم من المطبخ يطلعوا يقوموا يادوا ال catering,1
نفس القصة اللي صارت فالمدينة الرقمية ما كان فيه احد الان ال occupancy rate فيها تقريبا تسعة وتسعين بالمية او ثمانية وتسعين,1
لكن يمكن انا وانت مارحناه من زمان حتى لما نروح دبي لكن السايح اللي جاي من برا معلم سياحي,1
قلت لك deep deep,0
مصعب هو مصعب الشريك المؤسس ايه الشريك هو ال rommate هو ال rommate,1
الترفيه which was something يعني كان الترفيه الوحيد اللي موجود فالمملكة مطاعم نروح ناكل yeah نروح ناكل,1
تخيل اني ادير السكن ال ما اقدر فا لازم نعين ناس الناس هذولي,0
الى نهاية الالفين,0
هذا اللي نمشي فيه,1
تم اطلاقه في الفين وسبع طعش ولم يتم تغيير اي من مستهدفات اللي تم يعني الموافقة عليها من ال,1
الربح المضمون احنا شاركنا فالموسم بس انت فالسوق اكيد انك تعرف هذي المعلومة,0
يعني تطلع في عز الصيف و,1
تعرفت على مدرس انجليزي امريكي في جامعة البترول,1
مايقدر هو يروح يستاجر لازم انا استاجر له,1
هو اللي انا كملت معاه وصرت اثق فيه اقوله شوف انا يعني,1
costumer تقدر تدفع من ال tablet نفسه بدون اعتمادية,0
team من المطعم من المطبخ يطلعوا,0
فامريكا square تقارنون نفسكم ف square square payment وهنا اسمع انا انه,0
at all,0
خم انا يكلفني عشرة لانه يكلفني اوفر له اذا ماوفرت له سكن اعطي له بدل سكن مدري ايش و و الى اخ اشياء بدلات كثيرة هناك فدبي يقوله تبغى تشتغل ولا ماتبغى تشتغل,1
بداية لكم اللي هو نوزومي ايه نعم,1
من الاعضاء المؤسسين لهيئة السوق المالية,0
يخليك انك تطور مية فال وماتفكر فتوزيع ارباح ولاتفكر فالكلام الفاضي بس بنفس الوقت كان,1
اء هذي واحد الشيء الثاني هذا اول بند انه تكلفة التخليص الجمركي ومدة تخليص,1
on how you can utilize it كيف تقدر تستخدمها,1
وقال ما لا يمكن ارجع له او اكلمه او ارفع عليه السماعة او احطه تحت pressure,1
ما فيه,0
عشرين عشرين جاء covid وما شاء الله جاء covid سويناها كلها فيوم سنة وحدة ما شاء الله ايه اليوم تقرضون عملاء نعم بدينا عندكم ترخيص انكم تقرضون لا حنا نشتغل مع اء مع,1
يعني حنا بدينا,0
جالس تتكلم عن ال اء الصحة بشكل عام عن طريق الرياضة عن طريق طبعا الاشياء الطبية,1
and رحت هناك كانت تقريبا ماهي,0
ok فا فا وضع الشركة وانا ك ceo للشركة او الشريك اداري فالشركة ما ماتوقع انه حي,1
وعشان مكتبنا موجود هناك,0
المعروض واضح انه ما حيقل,1
لكل يعني سبب من هذي الشكاوى لها سبب معين اء و انا متاكد مية بالمية انه ما مر اكثر من,1
برجرايزر برجرايزر اوه ما كنت ادري انه برجرايزر,1
يعني قبل,0
وهذا prerequisite كان يعني مثلا ال,0
واحد ثاني يقول,0
من ناس متعلمين وذوي خبرات كبيرة اللي هي going,1
اء مجتهد شاد حيلك شاد حيلك اء tech شيء زي كذا,1
rtf اء وش كانت اهداف,0
الناس كلها فجاة تطلع تطلع تطلع طبعا مستثمرين بجميع انواعهم,1
احنا يعني نحاول ناخذهم ال point of sale نسوي mapping لل features اللي عندهم ال features اللي,0
خل نسمع,1
اوه انت عندك ايش,0
لكن سمو ولي العهد and my self we were against that position نقول انه هذي فرصة تاريخية نقدر نكسب,0
طائرة سلة جري اء كنت اجري كثير دخلت مسابقات كثيرة في,1
والمغربي والمغربي,0
هذي اغلبها استثمارات غير مباشرة هذي عبر مدراء صناديق لا حتى مم ممكن تكون direct بس ماهي stratigec,1
يعني عندها,0
اذا احد قاطع الثاني,0
في فترة الذروة اللي الرياض اصلا عليها اقبال,0
what i liked about him ماهو بس المعلومات اللي عنده,1
كان موجود في في الشرقية في الشرقية ايه قريب مرة عام كم هذا,1
اء كانت متخصصة فال fashion branding بالتحديد وليس فيه مجال المطاعم,1
فاخذ وقت الى ان نشوفه يطلع يطلع يتدرج في الطلوع متى,0
ما تقدر فاللي معبي مطاعم دبي سياح سياح ماهم سياح بينما هنا احنا معتمدين على السكان,0
الحدث الاول انه تم تطبيق ال vat وهذي ايه اللي اجبرت كثير من ال,1
استثمارية او تجارية تكون,0
تكاليف نيابة عنهم,1
كان اول ساعدوا في هذي النواحي كمان يعني كثير اول ناس فعلا سووا هالمبادرات ال initiative,1
ايه مافيه شيء اسمه,0
اء الحمدلله اصلا دخولنا في انه حنا عندنا هال applications اللي يقدر تربط مع,1
واحد من النواب الان هو,0
مكان فيه فيه جاي اصلا موجود فيه مواقف,1
يعني لما تجي على ال efficiency اللي موجودة في,0
الحمد لله توفقت فتحنا طال عمرك اسسنا شركة نرجع لسؤالك الاول اسسنا الشركة طال عمرك لما اتفقنا وكل شيء تم تاسيس الشركة في عام الفين واثنعش,1
خمسة بالمية عشرة بالمية يا ساتر تترا هذا اليوم مارجنكم في القطاع هذا القطا وين الفترة الذهبية الفين واربعطعش وخمسطعش,0
وانا باقي الشركة توها ما اثبتت نفسها قالي لا مين قال,1
مع ال,0
كان موجود في في الشرقية في الشرقية ايه,0
هي فروع بس اسم مطعم ممكن ايه اسم مطعم خلاص يطلع ok,1
ويصير لكن وكانت تجينا مخالفات مخالفات شكوى,1
اء لعدة شركات برا,1
رقم اثنين benchmark,1
والتعثر اللي كان,0
ذات جدوى استثمارية,0
قلت لا طبعا هذي ال copy من ال agreement تفضل فالمطعم الام وقع معاهم وقع معاهم مع,0
ابو فيصل يعطيه العافية هو اللي دلنا,0
صار فيه شيء اسمه ريادة اعمال صار فيه شيء اسمه صار فيه,0
بعض الناس مسافرين كمان بالاضافة الى ذلك ok فبالتالي كان الاقبال كويس ممتاز لكن مو اللي كنا نطمح,0
so we still need تقريبا ثثث قريب الاربع مئة مليار,1
رجعت ايه الحمدلله وبدينا من خلالها,0
ال ال,1
اء للسنوات عديدة,0
اء يتم النظر في المرشحين ويتم الاختيار التصويت عليهم,1
وهذا اللي حاصل فلو تحدثنا عن الحوكمة بشكل عام وعن امثلة لكيف ممكن يتخذ القرار داخل الصندوق,1
احنا ال staff cost عندنا عالميا فال fine dinning تتراوح من ستة وعشرين الى,0
ما ما ماتغير علي شيء بس,0
او مثلا فيه,0
اضافة للعائد الاستثماري طبعا,0
اء مليون ونص هذي هي ال round هو الاستثمار الحقيقي,1
امارات ومصر امارات ومصر اء طبعا بعد موضوع ال ال ال,0
و اش اشتراك,0
فهو صمم هذا richard اللي صمم لنا صمم,0
يعني انا اعتقد هي من ال ال يعني,1
فبالتالي ماني عارف ايش الدروس,0
حكى لك ولي العهد عن هذا عن هذا الفرصة الوظيفية,1
بعضها داخلية تشغيلية وبعضها عوامل,0
تراها full وكل اللي فيها,0
احنا عندنا ترتفع الى اربعين,0
newcastle united,0
من المعروض وفيه غير المطاعم هذي هي تنافسك,1
اء ناخذ نسبة من ال ناخذ ياخذوا النسبة,0
so masa تكلم,0
خمسة الى عشر دقايق فال فاللقاء اني اسال عن شيء يعتبر كنز ثمين,1
لكم ك group بما انكم عندكم هذي,0
ماهو بنفس ال segment حقت ميازو ولانوزومي في ذاك الوقت its a casual كا هذولي الثلاثة,1
وخلصنا ال deal هناك,1
اء هه هو اساسا كان المبنى دور واحد في وزا في عمارة داخل وزارة المالية,1
ماكان فيه instagram موجود بس على,0
اليوم عندنا هل هل انا سؤالي لك هل تعتبر المطاعم,0
شيء اذا ما فيها اضافة know how احنا الحمد لله الان,1
وتبغى تشوف انت وين تبغى تستثمر you wanna invest in the ip in the software and the hardware,1
واللي هي كانت سبعة الى ثمانية فالمية ففيه بعض فيه بعض ال funds,1
اء شارك في سابك في البنوك في معادن في كثير من اء اء الشركات,1
كيف انشئت indiver هي نفس تعا,0
يعني قريبا حتناقش مجلس الشورى اعتماد نظام التجاري الجديد,1
كنت يعني صراحة صعب كثير,0
اذا بيكون chairman of the company,1
في مقابلة عام الفين و واحد وعشرين انه foodics انطلقت من الخبر الى واحد وعشرين دولة حول العالم صحيح اليوم كم دولة انتم,1
اء لاني انا وقفت له كان,0
شيكتي فومو بوتيقا و في بريطانيا عندهم سبعة,0
واحد زاير يجي من برا يقول انا جربت كويا على سبيل المثال في الرياض وجربت كويا في خراج السعودية فاي فرع ويقول هذاك احسن اغار,1
لها تاثير على على foodics وعشان كذا انا,1
يعني يغطي تكاليفه في الربحية السنة هذي بدا الربحية,1
جالسين يتابعون في ادارة جديدة اسستوها ابو فيصل اسمها الادارة المحلية ادارة التنمية المحلية,1
ودائما يقضي اجازته اء,0
كيف تحسمون الاختلاف,1
i will حثي,0
فقال لي ابد ابشر قلت له انا بعطيك خدماتي مجانا بس اني انا بكون معاك,1
وحنجيها هذي المواسم بس انا اتكلم الان في الفين وسبعطعش فالوقت اللي انت مبسوط وقاعد تسوي هالنجاحات وتجمع هالفلوس ماشاءالله ما وزعت انت ما وزعت ولا ريال ما توزع من يوم ما تاسست فا لاتجيب الطاري بس فيه مردود عالي ماشاءالله تبارك الله,1
متى فتحوا ال ال هذوليك فتحوا فالبدايات,1
وهذا اللي حاصل فلو تحدثنا عن الحوكمة بشكل عام وعن امثلة لكيف ممكن يتخذ القرار داخل,0
فا انا هذا اللي اقوله,0
يمكن هذي ابو فيصل كا chairman بس الصندوق وش اضافته الص الفلوس اللي جت من ارامكو جت للصندوق همم البيع ال ال المبدئي,1
الفلوس موجودة وخصوصا احنا محظوظين ان حنا فالسعودية هنا,1
هنا رجعنا للانظمة المرئية,1
